时间,花费时间,实际圈数,实际扭力,螺丝结果
2017_10_28_16_3_12_957,0.28s,0.2圈,59.5mN*m,第179个OK
2017_10_28_16_3_19_425,0.375s,0.7圈,59.7mN*m,第180个OK
2017_10_28_16_3_25_475,0.293s,0.1圈,59.7mN*m,第181个OK
2017_10_28_16_3_31_536,0.29s,0.2圈,59.5mN*m,第182个OK
2017_10_28_16_3_37_583,0.278s,0.1圈,59.5mN*m,第183个OK
2017_10_28_16_3_43_628,0.308s,0.3圈,59.5mN*m,第184个OK
2017_10_28_16_3_52_66,0.314s,0圈,59.5mN*m,第185个OK
2017_10_28_16_3_58_881,0.284s,0圈,59.7mN*m,第186个OK
2017_10_28_16_4_6_160,0.294s,0圈,59.7mN*m,第187个OK
2017_10_28_16_4_12_450,0.39s,0.9圈,59.5mN*m,第188个OK
2017_10_28_16_4_18_693,0.289s,0.1圈,59.5mN*m,第189个OK
2017_10_28_16_4_25_69,0.336s,0.6圈,59.5mN*m,第190个OK
2017_10_28_16_4_31_532,0.353s,0.6圈,59.5mN*m,第191个OK
2017_10_28_16_4_37_854,0.369s,0.8圈,59.7mN*m,第192个OK
2017_10_28_16_4_43_969,0.393s,0.6圈,59.5mN*m,第193个OK
2017_10_28_16_4_50_552,0.348s,0.7圈,59.5mN*m,第194个OK
2017_10_28_16_4_58_536,0.295s,0圈,59.5mN*m,第195个OK
2017_10_28_16_5_4_835,0.332s,0.4圈,59.5mN*m,第196个OK
2017_10_28_16_5_11_387,0.404s,0.7圈,59.7mN*m,第197个OK
2017_10_28_16_5_17_398,0.365s,0.7圈,59.5mN*m,第198个OK
2017_10_28_16_5_25_764,0.378s,0.2圈,59.5mN*m,第199个OK
2017_10_28_16_5_29_682,0.35s,0.6圈,59.7mN*m,第200个OK
2017_10_28_16_6_52_79,0.263s,0圈,59.5mN*m,第201个OK
2017_10_28_16_6_57_924,0.357s,0.7圈,59.7mN*m,第202个OK
2017_10_28_16_7_4_158,0.251s,0圈,59.5mN*m,第203个OK
2017_10_28_16_7_9_349,0.242s,0圈,59.5mN*m,第204个OK
2017_10_28_16_7_15_397,0.307s,0.3圈,59.5mN*m,第205个OK
2017_10_28_16_7_21_530,0.364s,0.8圈,59.5mN*m,第206个OK
2017_10_28_16_7_27_577,0.317s,0.4圈,59.5mN*m,第207个OK
2017_10_28_16_7_33_798,0.24s,0圈,59.5mN*m,第208个OK
2017_10_28_16_7_41_698,0.301s,0圈,59.5mN*m,第209个OK
2017_10_28_16_7_47_834,0.31s,0.2圈,59.5mN*m,第210个OK
2017_10_28_16_7_53_965,0.32s,0.3圈,59.5mN*m,第211个OK
2017_10_28_16_7_59_935,0.3s,0.2圈,59.5mN*m,第212个OK
2017_10_28_16_8_8_472,0.305s,0圈,59.7mN*m,第213个OK
2017_10_28_16_8_15_771,0.321s,0圈,59.7mN*m,第214个OK
2017_10_28_16_8_23_823,0.33s,0圈,59.5mN*m,第215个OK
2017_10_28_16_8_30_363,0.243s,0圈,59.7mN*m,第216个OK
2017_10_28_16_8_35_843,0.293s,0.2圈,59.5mN*m,第217个OK
2017_10_28_16_8_42_97,0.452s,1.2圈,59.5mN*m,第218个OK
2017_10_28_16_8_47_759,0.357s,0.7圈,59.5mN*m,第219个OK
2017_10_28_16_8_53_776,0.348s,0.5圈,59.5mN*m,第220个OK
2017_10_28_16_8_59_667,0.247s,0圈,59.5mN*m,第221个OK
2017_10_28_16_9_5_809,0.289s,0.3圈,59.5mN*m,第222个OK
2017_10_28_16_9_13_108,0.31s,0圈,59.7mN*m,第223个OK
2017_10_28_16_9_19_246,0.327s,0.5圈,59.5mN*m,第224个OK
2017_10_28_16_9_25_138,0.304s,0.1圈,59.5mN*m,第225个OK
2017_10_28_16_9_31_272,0.27s,0.1圈,59.5mN*m,第226个OK
2017_10_28_16_9_37_404,0.334s,0.5圈,59.5mN*m,第227个OK
2017_10_28_16_9_43_616,0.403s,0.9圈,59.5mN*m,第228个OK
2017_10_28_16_9_51_603,1.152s,7.5圈,5.7mN*m,第229个NG
2017_10_28_16_9_56_983,0.271s,0.1圈,59.5mN*m,第230个OK
2017_10_28_16_10_3_116,0.276s,0圈,59.5mN*m,第231个OK
2017_10_28_16_10_9_334,0.339s,0.5圈,59.5mN*m,第232个OK
2017_10_28_16_10_15_562,0.286s,0.1圈,59.5mN*m,第233个OK
2017_10_28_16_10_21_520,0.303s,0.3圈,59.5mN*m,第234个OK
2017_10_28_16_10_27_819,0.343s,0.5圈,59.5mN*m,第235个OK
2017_10_28_16_10_33_873,0.354s,0.4圈,59.5mN*m,第236个OK
2017_10_28_16_10_40_432,0.255s,0圈,59.7mN*m,第237个OK
2017_10_28_16_10_46_738,0.336s,0.5圈,59.7mN*m,第238个OK
2017_10_28_16_10_52_933,0.316s,0.4圈,59.5mN*m,第239个OK
2017_10_28_16_10_58_832,0.295s,0.3圈,59.5mN*m,第240个OK
2017_10_28_16_11_6_341,0.317s,0.3圈,59.5mN*m,第241个OK
2017_10_28_16_11_19_580,0.311s,0.2圈,59.7mN*m,第242个OK
2017_10_28_16_11_30_668,1.182s,7.5圈,31mN*m,第243个NG
2017_10_28_16_11_37_54,0.282s,0.1圈,59.5mN*m,第244个OK
2017_10_28_16_11_43_101,0.246s,0圈,59.5mN*m,第245个OK
2017_10_28_16_12_0_355,0.28s,0圈,59.5mN*m,第246个OK
2017_10_28_16_12_9_580,0.251s,0圈,59.5mN*m,第247个OK
2017_10_28_16_12_17_237,0.3s,0.3圈,59.7mN*m,第248个OK
2017_10_28_16_12_26_909,0.287s,0圈,59.5mN*m,第249个OK
2017_10_28_16_12_32_725,0.285s,0.1圈,59.7mN*m,第250个OK
2017_10_28_16_12_42_546,0.336s,0.6圈,59.5mN*m,第251个OK
2017_10_28_16_12_48_432,0.3s,0.2圈,59.5mN*m,第252个OK
2017_10_28_16_12_55_836,0.343s,0.3圈,59.5mN*m,第253个OK
2017_10_28_16_13_2_310,0.256s,0圈,59.5mN*m,第254个OK
2017_10_28_16_13_11_643,0.311s,0圈,59.5mN*m,第255个OK
2017_10_28_16_13_17_777,0.335s,0.5圈,59.7mN*m,第256个OK
2017_10_28_16_13_28_703,0.435s,0.9圈,59.5mN*m,第257个OK
2017_10_28_16_13_36_823,0.358s,0.7圈,59.5mN*m,第258个OK
2017_10_28_16_13_44_781,0.289s,0圈,59.5mN*m,第259个OK
2017_10_28_16_13_54_450,0.376s,0.8圈,59.7mN*m,第260个OK
2017_10_28_16_14_5_527,0.288s,0圈,59.5mN*m,第261个OK
2017_10_28_16_14_15_107,0.242s,0圈,59.5mN*m,第262个OK
2017_10_28_16_14_21_339,0.289s,0圈,59.5mN*m,第263个OK
2017_10_28_16_14_27_245,0.36s,0.6圈,59.5mN*m,第264个OK
2017_10_28_16_14_33_379,0.317s,0.4圈,59.5mN*m,第265个OK
2017_10_28_16_14_45_900,0.345s,0圈,59.5mN*m,第266个OK
2017_10_28_16_14_56_411,0.303s,0.3圈,59.5mN*m,第267个OK
2017_10_28_16_15_5_237,0.302s,0.4圈,59.5mN*m,第268个OK
